10436, 3749, 21266, 24611, 18983, 6094, 23406, 1711, 8460, 23710, 9885, 8518, 3351, 2821, 17227, 8613, 24317, 5482, 12981, 666, 35436, 60436, 85436, 110436, 135436, 28749, 53749, 78749, 103749, 128749, 46266, 71266, 96266, 121266, 146266, 49611, 74611, 99611, 124611, 149611, 43983, 68983, 93983, 118983, 143983, 31094, 56094, 81094, 106094, 131094, 48406, 73406, 98406, 123406, 148406, 26711, 51711, 76711, 101711, 126711, 33460, 58460, 83460, 108460, 133460, 48710, 73710, 98710, 123710, 148710, 34885, 59885, 84885, 109885, 134885, 33518, 58518, 83518, 108518, 133518, 28351, 53351, 78351, 103351, 128351, 27821, 52821, 77821, 102821, 127821, 42227, 67227, 92227, 117227, 142227, 33613, 58613, 83613, 108613, 133613, 49317, 74317, 99317, 124317, 149317, 30482, 55482, 80482, 105482, 130482, 37981, 62981, 87981, 112981, 137981, 25666, 50666, 75666, 100666, 125666
24657, 5329, 7168, 13388, 3415, 20761, 5867, 6060, 3884, 21681, 13763, 16132, 4467, 15033, 20590, 6482, 7598, 23315, 8539, 24136, 49657, 74657, 99657, 124657, 149657, 30329, 55329, 80329, 105329, 130329, 32168, 57168, 82168, 107168, 132168, 38388, 63388, 88388, 113388, 138388, 28415, 53415, 78415, 103415, 128415, 45761, 70761, 95761, 120761, 145761, 30867, 55867, 80867, 105867, 130867, 31060, 56060, 81060, 106060, 131060, 28884, 53884, 78884, 103884, 128884, 46681, 71681, 96681, 121681, 146681, 38763, 63763, 88763, 113763, 138763, 41132, 66132, 91132, 116132, 141132, 29467, 54467, 79467, 104467, 129467, 40033, 65033, 90033, 115033, 140033, 45590, 70590, 95590, 120590, 145590, 31482, 56482, 81482, 106482, 131482, 32598, 57598, 82598, 107598, 132598, 48315, 73315, 98315, 123315, 148315, 33539, 58539, 83539, 108539, 133539, 49136, 74136, 99136, 124136, 149136
763, 16711, 23128, 2420, 8797, 24561, 14320, 12596, 13102, 20991, 11461, 16430, 5542, 12118, 18203, 13170, 22052, 16228, 14973, 6919, 25763, 50763, 75763, 100763, 125763, 41711, 66711, 91711, 116711, 141711, 48128, 73128, 98128, 123128, 148128, 27420, 52420, 77420, 102420, 127420, 33797, 58797, 83797, 108797, 133797, 49561, 74561, 99561, 124561, 149561, 39320, 64320, 89320, 114320, 139320, 37596, 62596, 87596, 112596, 137596, 38102, 63102, 88102, 113102, 138102, 45991, 70991, 95991, 120991, 145991, 36461, 61461, 86461, 111461, 136461, 41430, 66430, 91430, 116430, 141430, 30542, 55542, 80542, 105542, 130542, 37118, 62118, 87118, 112118, 137118, 43203, 68203, 93203, 118203, 143203, 38170, 63170, 88170, 113170, 138170, 47052, 72052, 97052, 122052, 147052, 41228, 66228, 91228, 116228, 141228, 39973, 64973, 89973, 114973, 139973, 31919, 56919, 81919, 106919, 131919
9698, 8821, 4526, 7623, 3422, 7322, 5217, 9014, 11012, 18122, 5687, 4135, 15555, 1883, 1290, 5628, 3347, 9939, 11958, 18624, 34698, 59698, 84698, 109698, 134698, 33821, 58821, 83821, 108821, 133821, 29526, 54526, 79526, 104526, 129526, 32623, 57623, 82623, 107623, 132623, 28422, 53422, 78422, 103422, 128422, 32322, 57322, 82322, 107322, 132322, 30217, 55217, 80217, 105217, 130217, 34014, 59014, 84014, 109014, 134014, 36012, 61012, 86012, 111012, 136012, 43122, 68122, 93122, 118122, 143122, 30687, 55687, 80687, 105687, 130687, 29135, 54135, 79135, 104135, 129135, 40555, 65555, 90555, 115555, 140555, 26883, 51883, 76883, 101883, 126883, 26290, 51290, 76290, 101290, 126290, 30628, 55628, 80628, 105628, 130628, 28347, 53347, 78347, 103347, 128347, 34939, 59939, 84939, 109939, 134939, 36958, 61958, 86958, 111958, 136958, 43624, 68624, 93624, 118624, 143624
21493, 23067, 21245, 11122, 11096, 11444, 2356, 9477, 17419, 18079, 19745, 12415, 9580, 14858, 16036, 1243, 7459, 15140, 24810, 20071, 46493, 71493, 96493, 121493, 146493, 48067, 73067, 98067, 123067, 148067, 46245, 71245, 96245, 121245, 146245, 36122, 61122, 86122, 111122, 136122, 36096, 61096, 86096, 111096, 136096, 36444, 61444, 86444, 111444, 136444, 27356, 52356, 77356, 102356, 127356, 34477, 59477, 84477, 109477, 134477, 42419, 67419, 92419, 117419, 142419, 43079, 68079, 93079, 118079, 143079, 44745, 69745, 94745, 119745, 144745, 37415, 62415, 87415, 112415, 137415, 34580, 59580, 84580, 109580, 134580, 39858, 64858, 89858, 114858, 139858, 41036, 66036, 91036, 116036, 141036, 26243, 51243, 76243, 101243, 126243, 32459, 57459, 82459, 107459, 132459, 40140, 65140, 90140, 115140, 140140, 49810, 74810, 99810, 124810, 149810, 45071, 70071, 95071, 120071, 145071
16643, 18787, 17180, 24537, 20634, 14144, 591, 7103, 20186, 11095, 19947, 23481, 13209, 8742, 20226, 20888, 11659, 13035, 21635, 15549, 41643, 66643, 91643, 116643, 141643, 43787, 68787, 93787, 118787, 143787, 42180, 67180, 92180, 117180, 142180, 49537, 74537, 99537, 124537, 149537, 45634, 70634, 95634, 120634, 145634, 39144, 64144, 89144, 114144, 139144, 25591, 50591, 75591, 100591, 125591, 32103, 57103, 82103, 107103, 132103, 45186, 70186, 95186, 120186, 145186, 36095, 61095, 86095, 111095, 136095, 44947, 69947, 94947, 119947, 144947, 48481, 73481, 98481, 123481, 148481, 38209, 63209, 88209, 113209, 138209, 33742, 58742, 83742, 108742, 133742, 45226, 70226, 95226, 120226, 145226, 45888, 70888, 95888, 120888, 145888, 36659, 61659, 86659, 111659, 136659, 38035, 63035, 88035, 113035, 138035, 46635, 71635, 96635, 121635, 146635, 40549, 65549, 90549, 115549, 140549
3384, 16018, 8016, 5040, 4582, 2435, 13398, 12636, 6405, 5034, 822, 22370, 10584, 13098, 17013, 688, 23419, 346, 23332, 22632, 28384, 53384, 78384, 103384, 128384, 41018, 66018, 91018, 116018, 141018, 33016, 58016, 83016, 108016, 133016, 30040, 55040, 80040, 105040, 130040, 29582, 54582, 79582, 104582, 129582, 27435, 52435, 77435, 102435, 127435, 38398, 63398, 88398, 113398, 138398, 37636, 62636, 87636, 112636, 137636, 31405, 56405, 81405, 106405, 131405, 30034, 55034, 80034, 105034, 130034, 25822, 50822, 75822, 100822, 125822, 47370, 72370, 97370, 122370, 147370, 35584, 60584, 85584, 110584, 135584, 38098, 63098, 88098, 113098, 138098, 42013, 67013, 92013, 117013, 142013, 25688, 50688, 75688, 100688, 125688, 48419, 73419, 98419, 123419, 148419, 25346, 50346, 75346, 100346, 125346, 48332, 73332, 98332, 123332, 148332, 47632, 72632, 97632, 122632, 147632
20838, 10435, 18167, 20184, 12389, 1912, 12877, 14955, 18091, 24862, 7628, 1308, 19552, 24506, 18914, 8576, 11218, 7525, 22477, 15529, 45838, 70838, 95838, 120838, 145838, 35435, 60435, 85435, 110435, 135435, 43167, 68167, 93167, 118167, 143167, 45184, 70184, 95184, 120184, 145184, 37389, 62389, 87389, 112389, 137389, 26912, 51912, 76912, 101912, 126912, 37877, 62877, 87877, 112877, 137877, 39955, 64955, 89955, 114955, 139955, 43091, 68091, 93091, 118091, 143091, 49862, 74862, 99862, 124862, 149862, 32628, 57628, 82628, 107628, 132628, 26308, 51308, 76308, 101308, 126308, 44552, 69552, 94552, 119552, 144552, 49506, 74506, 99506, 124506, 149506, 43914, 68914, 93914, 118914, 143914, 33576, 58576, 83576, 108576, 133576, 36218, 61218, 86218, 111218, 136218, 32525, 57525, 82525, 107525, 132525, 47477, 72477, 97477, 122477, 147477, 40529, 65529, 90529, 115529, 140529
18165, 3860, 6540, 9193, 15659, 10515, 5025, 3046, 19187, 9335, 17845, 21101, 24728, 12207, 7925, 14515, 15035, 10038, 12325, 12597, 43165, 68165, 93165, 118165, 143165, 28860, 53860, 78860, 103860, 128860, 31540, 56540, 81540, 106540, 131540, 34193, 59193, 84193, 109193, 134193, 40659, 65659, 90659, 115659, 140659, 35515, 60515, 85515, 110515, 135515, 30025, 55025, 80025, 105025, 130025, 28046, 53046, 78046, 103046, 128046, 44187, 69187, 94187, 119187, 144187, 34335, 59335, 84335, 109335, 134335, 42845, 67845, 92845, 117845, 142845, 46101, 71101, 96101, 121101, 146101, 49728, 74728, 99728, 124728, 149728, 37207, 62207, 87207, 112207, 137207, 32925, 57925, 82925, 107925, 132925, 39515, 64515, 89515, 114515, 139515, 40035, 65035, 90035, 115035, 140035, 35038, 60038, 85038, 110038, 135038, 37325, 62325, 87325, 112325, 137325, 37597, 62597, 87597, 112597, 137597
14129, 23900, 6917, 5509, 4589, 2556, 9471, 4204, 19381, 13924, 18656, 18092, 14993, 9008, 1175, 2286, 14070, 14356, 12103, 9490, 39129, 64129, 89129, 114129, 139129, 48900, 73900, 98900, 123900, 148900, 31917, 56917, 81917, 106917, 131917, 30509, 55509, 80509, 105509, 130509, 29589, 54589, 79589, 104589, 129589, 27556, 52556, 77556, 102556, 127556, 34471, 59471, 84471, 109471, 134471, 29204, 54204, 79204, 104204, 129204, 44381, 69381, 94381, 119381, 144381, 38924, 63924, 88924, 113924, 138924, 43656, 68656, 93656, 118656, 143656, 43092, 68092, 93092, 118092, 143092, 39993, 64993, 89993, 114993, 139993, 34008, 59008, 84008, 109008, 134008, 26175, 51175, 76175, 101175, 126175, 27286, 52286, 77286, 102286, 127286, 39070, 64070, 89070, 114070, 139070, 39356, 64356, 89356, 114356, 139356, 37103, 62103, 87103, 112103, 137103, 34490, 59490, 84490, 109490, 134490
