858, 14297, 2148, 7882, 13943, 10217, 2295, 5150, 7841, 15169, 13227, 24632, 16948, 111, 3229, 8716, 17403, 2460, 3120, 3919
5785, 6005, 17747, 17799, 2945, 20601, 6437, 3521, 4791, 3912, 23546, 3042, 17663, 7847, 10860, 5537, 23145, 11213, 3770, 652
17846, 12735, 15481, 22168, 19188, 8013, 14906, 12930, 14604, 21784, 9442, 15848, 8896, 17118, 20209, 17626, 15207, 24052, 16911, 20777
18402, 13158, 23010, 5185, 20937, 15531, 13654, 20498, 19162, 23382, 22311, 12840, 15014, 20910, 8049, 18779, 11159, 19579, 19630, 14160
13129, 16942, 23612, 19868, 24014, 16743, 16385, 24736, 22920, 20416, 19608, 21579, 18269, 21197, 24887, 23708, 19570, 13229, 22997, 21414
20230, 14597, 20799, 12976, 18194, 13231, 8924, 12519, 14329, 16865, 15460, 17457, 21898, 19332, 22036, 18722, 22264, 15089, 17431, 21824
18955, 17406, 17538, 16684, 16556, 14797, 20362, 12984, 16664, 21142, 17621, 24029, 24488, 18714, 14347, 13732, 13655, 23381, 16307, 22038
14416, 17278, 12640, 19602, 19082, 20949, 18985, 18844, 24605, 12837, 22042, 23625, 16955, 16154, 22143, 14702, 22107, 15024, 15624, 20260
200, 13135, 16986, 14946, 23626, 24826, 22594, 23874, 21405, 22126, 19533, 22110, 19201, 16547, 13092, 24955, 19415, 24257, 16993, 23092
18602, 20100, 16963, 18995, 16094, 19807, 13119, 13212, 22570, 14100, 14787, 13613, 20115, 24124, 13066, 24689, 15594, 15966, 12771, 17931
21423, 21698, 19845, 21208, 20809, 22078, 15718, 12979, 20936, 13270, 18924, 24942, 23044, 22497, 15812, 18866, 19769, 24527, 14665, 20435
18752, 19376, 19173, 17568, 15852, 20227, 19438, 21427, 13246, 24781, 21116, 19948, 19362, 16864, 15539, 15672, 17167, 23468, 18745, 22902
14192, 16462, 18232, 21762, 21930, 12948, 15907, 24254, 24121, 19574, 13594, 22935, 19027, 14331, 17801, 12057, 4618, 20243, 16508, 24057
17825, 15677, 17422, 6975, 5480, 21842, 15501, 20643, 18421, 12417, 21996, 19424, 19026, 16017, 17766, 14645, 15749, 15223, 24507, 18842
13653, 12754, 15366, 23082, 12962, 14537, 16755, 24017, 13816, 16389, 16673, 22972, 18768, 15349, 14825, 13891, 24633, 16874, 17179, 23322
12798, 24956, 15372, 19193, 22351, 24336, 17673, 22297, 16939, 18793, 24496, 16324, 18763, 24959, 16737, 23982, 15373, 14014, 19836, 4595
18498, 23490, 20521, 14584, 5207, 9800, 949, 23367, 7309, 4761, 18976, 14376, 18598, 13511, 13819, 5374, 19243, 22907, 19283, 2432
